capital,university,venture,enterprise,accelerator,procurement_before,timedelta,procurement_after,energy_and_semiconductor,finance,ecology,bio,computer,service
100000.0,0.0,1.0,1.0,1.0,238870.0,629.0,-19935.0,0,1,0,0,0,0
388000.0,0.0,1.0,0.0,0.0,347727.0,0.0,0.0,0,0,0,0,0,1
275000.0,0.0,1.0,1.0,0.0,250000.0,0.0,0.0,0,1,0,0,0,0
379000.0,1.0,0.0,0.0,0.0,706171.0,0.0,0.0,0,0,0,1,0,0
3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
3000.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
0.0,0.0,1.0,1.0,1.0,0.0,336.0,0.0,0,0,0,0,0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
1000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
81000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0
86000.0,0.0,1.0,1.0,0.0,16000.0,0.0,30000.0,0,0,0,0,1,0
50000.0,1.0,0.0,0.0,0.0,100000.0,0.0,0.0,0,0,1,0,0,0
150000.0,1.0,0.0,0.0,0.0,180000.0,0.0,0.0,0,0,0,1,0,0
2000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
