capital,university,venture,enterprise,procurement_before,procurement_after,timedelta,accelerator_type,energy_and_semiconductor,finance,ecology,bio,computer,service
274000.0,0.0,0.0,1.0,145970.0,808680.0,915,,0,0,0,0,0,1
,0.0,0.0,1.0,0.0,0.0,395,0.0,0,0,0,0,0,1
,0.0,0.0,0.0,0.0,0.0,396,0.0,0,0,0,0,1,0
2000.0,0.0,0.0,0.0,0.0,0.0,1004,1.0,0,0,0,0,1,0
,0.0,0.0,0.0,0.0,0.0,700,1.0,0,0,0,0,0,1
11000.0,0.0,0.0,0.0,0.0,0.0,913,0.0,0,0,0,1,0,0
2000.0,0.0,0.0,1.0,0.0,0.0,394,0.0,0,0,0,0,1,0
2000.0,0.0,0.0,1.0,0.0,0.0,316,1.0,0,0,0,0,1,0
41000.0,0.0,0.0,1.0,0.0,0.0,588,1.0,0,0,0,0,1,0
,0.0,0.0,0.0,0.0,0.0,518,0.0,0,0,0,0,1,0
,0.0,1.0,0.0,51900.0,0.0,944,1.0,0,0,0,0,1,0
,1.0,0.0,1.0,30000.0,1600007.0,1227,,0,0,0,0,1,0
,0.0,0.0,1.0,0.0,0.0,518,0.0,0,0,0,0,1,0
,0.0,0.0,0.0,0.0,0.0,36,1.0,0,0,0,0,0,1
,0.0,1.0,0.0,0.0,0.0,87,1.0,0,1,0,0,0,0
,1.0,1.0,0.0,0.0,0.0,226,1.0,0,0,0,0,1,0
,0.0,1.0,0.0,0.0,0.0,365,1.0,0,0,0,0,0,1
100.0,0.0,0.0,1.0,100.0,0.0,157,1.0,1,0,0,0,0,0
,0.0,0.0,1.0,0.0,0.0,55,1.0,0,0,0,0,0,1
,0.0,0.0,1.0,0.0,0.0,1400,1.0,1,0,0,0,0,0
,0.0,1.0,0.0,0.0,3846.0,456,0.0,0,0,0,0,0,1
,0.0,0.0,1.0,0.0,0.0,616,0.0,0,0,0,1,0,0
