capital,university,venture,enterprise,procurement_before,procurement_after,energy_and_semiconductor,finance,ecology,bio,computer,service,accelerator,lgbm_pred
4500.0,0.0,0.0,0.0,5000.0,203000.0,0,0,0,0,0,1,0.0,0.053071241215675066
1000.0,0.0,0.0,0.0,1000.0,0.0,0,0,0,0,0,1,0.0,0.09656687717493118
3000.0,0.0,1.0,0.0,57960.0,62375.0,0,0,0,1,0,0,0.0,0.35876418457238274
1000.0,0.0,0.0,1.0,15500.0,0.0,0,0,0,0,1,0,0.0,0.7761322520017799
1000.0,0.0,0.0,1.0,1000.0,1090431.0,0,0,0,1,0,0,0.0,0.18543280910260074
30.0,1.0,0.0,0.0,2000.0,49500.0,1,0,0,0,0,0,0.0,0.10926865067565668
5000.0,0.0,0.0,1.0,5000.0,100000.0,0,0,0,0,1,0,0.0,0.24608873428243827
1000.0,0.0,0.0,1.0,861420.0,0.0,1,0,0,0,0,0,0.0,0.7481652861567712
3200.0,0.0,0.0,1.0,18200.0,0.0,0,0,0,0,0,1,0.0,0.5162445478671711
33000.0,0.0,0.0,1.0,599500.0,0.0,1,0,0,0,0,0,0.0,0.5356944185695399
5000.0,0.0,0.0,1.0,5000.0,0.0,0,0,0,0,1,0,0.0,0.24608873428243827
1000.0,0.0,0.0,1.0,141000.0,33600.0,0,1,0,0,0,0,0.0,0.7481652861567712
6000.0,0.0,0.0,1.0,54000.0,0.0,0,0,0,0,0,1,0.0,0.7233546345792972
100.0,1.0,1.0,0.0,110100.0,744900.0,0,0,0,1,0,0,0.0,0.786043773813591
1100.0,1.0,0.0,0.0,130800.0,35100.0,0,0,0,1,0,0,0.0,0.6427963422228049
10000.0,1.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0.0,0.23408903763645422
1000.0,0.0,0.0,0.0,26200.0,70740.0,0,0,0,0,1,0,0.0,0.6868511909000256
3580.0,0.0,0.0,1.0,3580.0,0.0,0,0,0,0,0,1,0.0,0.08461236875944865
2000.0,0.0,0.0,1.0,2000.0,0.0,0,0,0,0,0,1,0.0,0.2022461256305307
