capital,university,venture,enterprise,procurement_before,procurement_after,energy_and_semiconductor,finance,ecology,bio,computer,service,accelerator,lgbm_pred
5000.0,0.0,0.0,1.0,5000.0,20000.0,0,0,0,0,0,1,0.0,0.25029381587873983
49000.0,0.0,0.0,1.0,48383.0,25293.0,0,0,0,0,0,1,0.0,0.2524618334334225
100000.0,0.0,0.0,1.0,1597500.0,0.0,0,0,0,0,1,0,0.0,0.36535249015140797
109000.0,0.0,0.0,0.0,9000.0,100000.0,1,0,0,0,0,0,0.0,0.14495713577563424
5000.0,0.0,0.0,1.0,0.0,68000.0,0,0,0,0,1,0,0.0,0.37867342056018494
31000.0,0.0,0.0,1.0,56000.0,0.0,0,0,0,0,0,1,0.0,0.1479317529282311
35000.0,0.0,0.0,1.0,25000.0,0.0,1,0,0,0,0,0,0.0,0.22509340955946594
65000.0,0.0,0.0,1.0,65000.0,0.0,0,1,0,0,0,0,0.0,0.2822549957213986
55000.0,0.0,1.0,0.0,80025.0,0.0,0,0,0,0,1,0,0.0,0.05686956677898215
37000.0,0.0,1.0,0.0,0.0,32000.0,0,0,0,0,1,0,0.0,0.07118354662303347
16000.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0.0,0.35505433190541613
60000.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0.0,0.5248093565435709
46000.0,0.0,1.0,0.0,21000.0,0.0,0,0,0,0,1,0,0.0,0.06898060646017863
1000.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0.0,0.6056334105222602
22000.0,0.0,1.0,0.0,12040.0,31180.0,0,0,0,0,0,1,0.0,0.1446910197426702
100.0,1.0,0.0,0.0,99100.0,102000.0,0,0,0,1,0,0,0.0,0.3932523953464226
2000.0,0.0,0.0,0.0,122000.0,0.0,0,0,0,0,0,1,0.0,0.3932523953464226
85000.0,0.0,0.0,1.0,169000.0,0.0,0,0,0,0,0,1,0.0,0.36360334389376914
277000.0,0.0,0.0,1.0,108620.0,126750.0,0,0,0,0,1,0,0.0,0.36535249015140797
8000.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0.0,0.03864848057808233
3000.0,0.0,1.0,0.0,500.0,50000.0,0,0,0,0,0,1,0.0,0.3566776169814373
42000.0,0.0,0.0,0.0,19600.0,63050.0,0,0,0,0,0,1,0.0,0.055607880273922286
300000.0,0.0,0.0,1.0,510642.0,0.0,0,0,0,0,1,0,0.0,0.36535249015140797
70000.0,0.0,0.0,0.0,9980.0,9980.0,1,0,0,0,0,0,0.0,0.2230049780949095
93000.0,0.0,0.0,1.0,166980.0,0.0,0,0,0,0,1,0,0.0,0.36535249015140797
91000.0,0.0,1.0,0.0,131200.0,0.0,0,0,0,1,0,0,0.0,0.08511673972114661
21000.0,0.0,0.0,0.0,20000.0,0.0,0,0,0,0,0,1,0.0,0.10472280235787697
17000.0,0.0,1.0,0.0,32497.0,76580.0,0,0,0,0,1,0,0.0,0.1600228714986398
30000.0,0.0,1.0,0.0,15000.0,0.0,0,0,0,0,0,1,0.0,0.06420556507186458
2000.0,0.0,0.0,0.0,1500.0,0.0,0,0,0,0,1,0,0.0,0.7334852070492557
2000.0,0.0,0.0,1.0,2000.0,0.0,0,0,0,0,0,1,0.0,0.5397807711787324
14000.0,0.0,0.0,0.0,12500.0,0.0,0,0,0,1,0,0,0.0,0.13894054081901866
89000.0,0.0,0.0,0.0,50.0,100000.0,0,0,0,0,0,1,0.0,0.14399290714897955
40000.0,1.0,0.0,0.0,25000.0,30000.0,0,0,0,0,1,0,0.0,0.08458047627776283
181000.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,0.0,0.613311644521115
50000.0,0.0,0.0,0.0,99900.0,0.0,0,0,0,0,0,1,0.0,0.049840838243188114
75000.0,0.0,1.0,0.0,105000.0,0.0,0,0,0,0,0,1,0.0,0.08511673972114661
10000.0,0.0,1.0,0.0,10000.0,0.0,0,0,0,0,1,0,0.0,0.3305126115117377
66000.0,0.0,1.0,0.0,66120.0,0.0,0,0,0,0,1,0,0.0,0.06741724549372206
14000.0,1.0,0.0,1.0,6100.0,20000.0,0,0,0,1,0,0,0.0,0.562309255299037
125000.0,0.0,1.0,0.0,183950.0,0.0,0,0,0,0,1,0,0.0,0.08513413710409264
74000.0,1.0,0.0,1.0,145504.0,0.0,1,0,0,0,0,0,0.0,0.36360334389376914
135000.0,0.0,0.0,0.0,9900.0,250000.0,0,0,0,0,1,0,0.0,0.2324584599899041
22000.0,0.0,0.0,0.0,2000.0,0.0,0,0,0,0,1,0,0.0,0.15875909368715535
44000.0,0.0,0.0,1.0,83730.0,0.0,0,0,0,0,1,0,0.0,0.25388962393287756
13000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0.0,0.09489597746319493
64000.0,0.0,1.0,0.0,41000.0,0.0,0,0,1,0,0,0,0.0,0.07231679236595255
70000.0,0.0,0.0,1.0,70000.0,0.0,0,0,0,0,0,1,0.0,0.3074078006434899
23000.0,0.0,0.0,0.0,23400.0,0.0,0,0,0,0,1,0,0.0,0.17969787246423802
7000.0,0.0,1.0,0.0,62000.0,150000.0,0,0,0,0,0,1,0.0,0.051029912093494036
10000.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,0.0,0.045062489394072966
30000.0,0.0,1.0,0.0,44995.0,0.0,0,0,0,0,1,0,0.0,0.04201384051427642
10000.0,0.0,1.0,0.0,10000.0,0.0,0,0,0,0,1,0,0.0,0.3305126115117377
2000.0,0.0,1.0,0.0,2000.0,0.0,0,0,0,0,0,1,0.0,0.4670646299892566
50000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.09043941610108815
10000.0,0.0,0.0,1.0,10000.0,0.0,0,0,0,0,1,0,0.0,0.6264597245880099
100000.0,0.0,0.0,1.0,160000.0,450000.0,0,0,0,1,0,0,0.0,0.36360334389376914
30000.0,0.0,1.0,0.0,30000.0,0.0,0,0,0,0,1,0,0.0,0.06425809747609657
