capital,university,venture,enterprise,accelerator,procurement_before,timedelta,procurement_after,energy_and_semiconductor,finance,ecology,bio,computer,service,lgbm_pred,nn_pred
1000.0,0.0,0.0,1.0,1.0,1000.0,1403.0,0.0,0,0,0,0,1,0,0.689265438197354,0.5607321
10000.0,0.0,0.0,0.0,0.0,10000.0,,0.0,0,0,1,0,0,0,0.1617277854288445,0.46647856
1500.0,0.0,0.0,1.0,1.0,13000.0,1009.0,0.0,0,0,0,0,1,0,0.9172452072654629,0.3418795
1000.0,0.0,0.0,1.0,0.0,0.0,,0.0,0,0,0,1,0,0,0.5649595694981554,0.55953646
2000.0,0.0,0.0,1.0,1.0,2000.0,633.0,60000.0,0,0,0,0,1,0,0.8160039709692737,0.5503338
2000.0,0.0,1.0,0.0,0.0,341998.0,,650001.0,0,0,0,0,0,1,0.8691832489698886,9.327985e-11
1000.0,0.0,1.0,0.0,0.0,63000.0,769.0,375000.0,0,0,0,0,0,1,0.6044468445011975,0.016569108
5000.0,1.0,0.0,0.0,0.0,82000.0,,0.0,1,0,0,0,0,0,0.14445810460978697,0.0030098557
1000.0,1.0,1.0,0.0,0.0,32500.0,,84350.0,0,0,0,0,1,0,0.9278660541503321,0.11744812
3000.0,0.0,0.0,0.0,1.0,191840.0,1105.0,0.0,0,0,0,0,1,0,0.87782764607943,2.1959322e-06
2000.0,0.0,0.0,1.0,0.0,9000.0,,0.0,0,0,0,0,0,1,0.5830570458685568,0.4234131
10.0,1.0,1.0,0.0,0.0,80273.0,,574145.0,0,0,0,0,0,1,0.41682305355774113,0.0058050454
7000.0,1.0,0.0,1.0,1.0,458796.0,906.0,273218.0,0,0,0,1,0,0,0.8344507810833076,1.9900551e-14
1000.0,0.0,0.0,1.0,0.0,1000.0,,0.0,0,0,0,0,0,1,0.4991538499744042,0.5607459
10000.0,0.0,0.0,1.0,0.0,14600.0,,3525.0,0,0,0,0,1,0,0.5419336614266661,0.38953424
1000.0,0.0,0.0,0.0,0.0,2685405.0,,977490.0,1,0,0,0,0,0,0.6624185706052345,0.0
5000.0,0.0,0.0,1.0,1.0,5000.0,1334.0,0.0,0,0,0,0,1,0,0.5752854309822358,0.51891005
9000.0,0.0,0.0,1.0,0.0,9000.0,,0.0,0,0,0,0,1,0,0.4756010550453957,0.4769279
1000.0,1.0,0.0,0.0,0.0,71200.0,,109620.0,0,0,1,0,0,0,0.3783958650552481,0.009573489
735.0,0.0,1.0,0.0,1.0,184785.0,1336.0,0.0,0,0,0,0,1,0,0.9092076410735769,4.5197903e-06
5000.0,0.0,1.0,0.0,1.0,326170.0,881.0,659994.0,0,0,0,0,0,1,0.7263772622550534,1.9739888e-10
1000.0,0.0,0.0,1.0,0.0,93981.0,,605250.0,0,0,0,0,1,0,0.47580610328014944,0.0020592213
3000.0,0.0,0.0,1.0,1.0,113550.0,275.0,401016.0,0,1,0,0,0,0,0.8167260521768317,0.0004415214
36300.0,0.0,0.0,1.0,0.0,296300.0,,500000.0,1,0,0,0,0,0,0.301289977289426,6.5078765e-10
10.0,0.0,0.0,1.0,0.0,112883.0,,119996.0,0,0,0,0,1,0,0.7681902669841414,0.0006414354
3000.0,0.0,0.0,1.0,1.0,3000.0,31.0,51200.0,0,0,0,0,1,0,0.7845206423134599,0.5398913
3000.0,0.0,0.0,0.0,0.0,84300.0,,115100.0,0,0,0,0,1,0,0.6107888654703721,0.0031956136
500.0,1.0,0.0,0.0,1.0,500.0,1477.0,0.0,0,0,0,1,0,0,0.6165007629828861,0.565006
10.0,0.0,1.0,0.0,1.0,290010.0,757.0,350000.0,0,0,0,1,0,0,0.8349113511965799,3.975517e-09
1000.0,0.0,1.0,0.0,0.0,79580.0,,0.0,1,0,0,0,0,0,0.41682305355774113,0.0054477453
5000.0,1.0,0.0,0.0,0.0,85000.0,,0.0,0,0,0,1,0,0,0.14445810460978697,0.002457261
10.0,0.0,1.0,0.0,1.0,1010.0,123.0,62700.0,0,0,0,0,1,0,0.8084358781155331,0.5556295
3000.0,0.0,1.0,0.0,1.0,14000.0,1003.0,38250.0,0,0,0,0,1,0,0.9447640797148203,0.34338534
9800.0,0.0,0.0,0.0,0.0,70019.0,,20000.0,0,0,0,0,0,1,0.10434218224936709,0.00895673
1000.0,1.0,0.0,1.0,1.0,1203040.0,1337.0,0.0,1,0,0,0,0,0,0.6301725438551142,5.0017303e-36
1000.0,0.0,0.0,0.0,1.0,0.0,426.0,0.0,0,0,0,0,0,1,0.47932486957628456,0.5595382
1000.0,0.0,1.0,0.0,1.0,377400.0,972.0,0.0,0,0,0,1,0,0,0.8349113511965799,9.434785e-12
10000.0,0.0,1.0,0.0,0.0,316000.0,,260000.0,0,0,0,0,0,1,0.24100138758984557,2.2919906e-10
10000.0,0.0,0.0,1.0,0.0,155718.0,,300001.0,1,0,0,0,0,0,0.5067931872943917,1.1913422e-05
1000.0,0.0,1.0,0.0,1.0,309000.0,895.0,0.0,0,0,0,0,0,1,0.8349113511965799,9.717314e-10
6500.0,0.0,0.0,0.0,0.0,108000.0,,0.0,0,0,0,0,1,0,0.3499356249490667,0.00044074655
1000.0,0.0,0.0,1.0,1.0,1000.0,237.0,79310.0,0,0,0,0,1,0,0.689265438197354,0.5607321
